      x        P5        err
  -0.35200  -0.32093  -0.00000
  -0.35100  -0.32170  -0.00000
  -0.35000  -0.32245  -0.00000
  -0.34900  -0.32319  -0.00000
  -0.34800  -0.32393  -0.00000
  -0.34700  -0.32465  -0.00000
  -0.34600  -0.32536  -0.00000
  -0.34500  -0.32605  -0.00000
  -0.34400  -0.32674  -0.00000
  -0.34300  -0.32741  -0.00000
  -0.34200  -0.32808  -0.00000
  -0.34100  -0.32873  -0.00000
  -0.34000  -0.32937  -0.00000
  -0.33900  -0.32999  -0.00000
  -0.33800  -0.33061  -0.00000
  -0.33700  -0.33121  -0.00000
  -0.33600  -0.33181  -0.00000
  -0.33500  -0.33239  -0.00000
  -0.33400  -0.33296  -0.00000
  -0.33300  -0.33351  -0.00000
  -0.33200  -0.33406  -0.00000
  -0.33100  -0.33459  -0.00000
  -0.33000  -0.33512  -0.00000
  -0.32900  -0.33563  -0.00000
  -0.32800  -0.33613  -0.00000
  -0.32700  -0.33661  -0.00000
  -0.32600  -0.33709  -0.00000
  -0.32500  -0.33755  -0.00000
  -0.32400  -0.33801  -0.00000
  -0.32300  -0.33845  -0.00000
  -0.32200  -0.33888  -0.00000
  -0.32100  -0.33929  -0.00000
  -0.32000  -0.33970  -0.00000
  -0.31900  -0.34009  -0.00000
  -0.31800  -0.34048  -0.00000
  -0.31700  -0.34085  -0.00000
  -0.31600  -0.34121  -0.00000
  -0.31500  -0.34156  -0.00000
  -0.31400  -0.34189  -0.00000
  -0.31300  -0.34222  -0.00000
  -0.31200  -0.34253  -0.00000
  -0.31100  -0.34283  -0.00000
  -0.31000  -0.34312  -0.00000
  -0.30900  -0.34340  -0.00000
  -0.30800  -0.34367  -0.00000
  -0.30700  -0.34392  -0.00000
  -0.30600  -0.34416  -0.00000
  -0.30500  -0.34440  -0.00000
  -0.30400  -0.34462  -0.00000
  -0.30300  -0.34482  -0.00000
  -0.30200  -0.34502  -0.00000
  -0.30100  -0.34521  -0.00000
  -0.30000  -0.34538  -0.00000
  -0.29900  -0.34555  -0.00000
  -0.29800  -0.34570  -0.00000
  -0.29700  -0.34584  -0.00000
  -0.29600  -0.34596  -0.00000
  -0.29500  -0.34608  -0.00000
  -0.29400  -0.34619  -0.00000
  -0.29300  -0.34628  -0.00000
  -0.29200  -0.34636  -0.00000
  -0.29100  -0.34644  -0.00000
  -0.29000  -0.34649  -0.00000
  -0.28900  -0.34654  -0.00000
  -0.28800  -0.34658  -0.00000
  -0.28700  -0.34661  -0.00000
  -0.28600  -0.34662  -0.00000
  -0.28500  -0.34662  -0.00000
  -0.28400  -0.34662  -0.00000
  -0.28300  -0.34660  -0.00000
  -0.28200  -0.34656  -0.00000
  -0.28100  -0.34652  -0.00000
  -0.28000  -0.34647  -0.00000
  -0.27900  -0.34640  -0.00000
  -0.27800  -0.34633  -0.00000
  -0.27700  -0.34624  -0.00000
  -0.27600  -0.34614  -0.00000
  -0.27500  -0.34603  -0.00000
  -0.27400  -0.34591  -0.00000
  -0.27300  -0.34578  -0.00000
  -0.27200  -0.34564  -0.00000
  -0.27100  -0.34548  -0.00000
  -0.27000  -0.34532  -0.00000
  -0.26900  -0.34514  -0.00000
  -0.26800  -0.34496  -0.00000
  -0.26700  -0.34476  -0.00000
  -0.26600  -0.34455  -0.00000
  -0.26500  -0.34433  -0.00000
  -0.26400  -0.34410  -0.00000
  -0.26300  -0.34386  -0.00000
  -0.26200  -0.34360  -0.00000
  -0.26100  -0.34334  -0.00000
  -0.26000  -0.34306  -0.00000
  -0.25900  -0.34278  -0.00000
  -0.25800  -0.34248  -0.00000
  -0.25700  -0.34217  -0.00000
  -0.25600  -0.34185  -0.00000
  -0.25500  -0.34153  -0.00000
  -0.25400  -0.34119  -0.00000
  -0.25300  -0.34083  -0.00000
  -0.25200  -0.34047  -0.00000
  -0.25100  -0.34010  -0.00000
  -0.25000  -0.33972  -0.00000
  -0.24900  -0.33932  -0.00000
  -0.24800  -0.33892  -0.00000
  -0.24700  -0.33851  -0.00000
  -0.24600  -0.33808  -0.00000
  -0.24500  -0.33764  -0.00000
  -0.24400  -0.33720  -0.00000
  -0.24300  -0.33674  -0.00000
  -0.24200  -0.33627  -0.00000
  -0.24100  -0.33580  -0.00000
  -0.24000  -0.33531  -0.00000
  -0.23900  -0.33481  -0.00000
  -0.23800  -0.33430  -0.00000
  -0.23700  -0.33378  -0.00000
  -0.23600  -0.33325  -0.00000
  -0.23500  -0.33271  -0.00000
  -0.23400  -0.33216  -0.00000
  -0.23300  -0.33160  -0.00000
  -0.23200  -0.33103  -0.00000
  -0.23100  -0.33045  -0.00000
  -0.23000  -0.32985  -0.00000
  -0.22900  -0.32925  -0.00000
  -0.22800  -0.32864  -0.00000
  -0.22700  -0.32802  -0.00000
  -0.22600  -0.32739  -0.00000
